Sample ID	Sample type	median LOH VAF	LOH gene count	Copy neutral gene count	snp_TC	mut_TC
VCC-052-Baseline		0.6725065579788263	22.0	10.0	0.5130256528569277	0.635
FVC-129-Progression		0.6735843757151285	35.0	17.0	0.5154049944547425	0.502
VCC-180-Baseline		0.6739120085480506	27.0	6.0	0.5161267534696274	0.606
CSI-110-Progression2		0.6788354576570808	36.0	23.0	0.5268889703384378	0.5870000000000001
CSI-077-Baseline		0.6789372198476893	37.0	27.0	0.5271097669025466	0.596
VCC-004-Progression2		0.6852074637196257	36.0	10.0	0.5405879927642154	0.491
VPC-168-Baseline		0.6903320332234145	39.0	17.0	0.551421704522921	0.5870000000000001
FVC-048-Baseline		0.6917494388028567	22.0	13.0	0.5543898644419538	0.758
FVC-092-Baseline		0.6929449759513241	24.0	18.0	0.5568839739012048	0.889
VIC-030-Baseline		0.6964119449665955	29.0	6.0	0.5640682828207857	0.892
VCC-193-Progression		0.6970913587552204	27.0	16.0	0.5654678006830032	0.524
CSI-132-Progression2		0.6979905263149936	32.0	24.0	0.567315798282463	0.473
VCC-177-Progression		0.6982075311555206	27.0	6.0	0.5677610805128119	0.813
CSI-015-Progression2		0.707830880488485	18.0	12.0	0.5872331547475229	0.524
VPC-109-Progression		0.7104832236278114	34.0	19.0	0.5925072306508776	0.693
VCC-018-Progression		0.7211916973816209	32.0	20.0	0.6134061115364633	0.635
VCC-193-Baseline		0.7247141559698339	27.0	17.0	0.6201456232605662	0.556
VCC-111-Baseline		0.730600568976271	35.0	26.0	0.6312630424019301	0.43799999999999994
VCC-177-Baseline		0.7306062854150291	27.0	13.0	0.6312737517280751	0.813
VIC-055-Baseline		0.7308978432060244	33.0	17.0	0.6318197415748543	0.319
VCC-094-Baseline		0.730921205300329	36.0	25.0	0.6318634720836853	0.8240000000000001
VCC-180-Progression		0.7372973828022751	31.0	15.0	0.6436951719545501	0.701
FVC-085-Baseline		0.7385111490826453	26.0	21.0	0.6459243015597425	0.855
VCC-180-Progression2		0.7466365219958492	30.0	18.0	0.6606602134504755	0.6970000000000001
FVC-046-Progression		0.7528395430281851	28.0	15.0	0.6716957029413615	0.7140000000000001
FVC-156-Progression		0.7576652825337908	40.0	24.0	0.68015596985546	0.68
FVC-046-Progression2		0.7589205160396298	28.0	13.0	0.6823389553119139	0.765
FVC-046-Baseline		0.7647006956854681	28.0	7.0	0.6922988227392515	0.742
CSI-136-Baseline		0.7659488688968005	30.0	21.0	0.694429823441995	0.705
CSI-136-Progression		0.781975855953025	27.0	18.0	0.7211881384991607	0.8
VCC-018-Progression2		0.8108264293737617	30.0	17.0	0.76669042377868	0.82
VCC-163-VS13-15983_C13-Tissue		0.8902342806299653	30.0	22.0	0.8767001880759298	0.795
