Sample ID	Sample type	median LOH VAF	LOH gene count	Copy neutral gene count	snp_TC	mut_TC
VCC-071-Progression		0.5539091756830703	31.0	23.0	0.19464987420217583	0.14
VCC-179-Progression2		0.5544526791822738	38.0	32.0	0.19641957276708455	0.122
AC-160-Progression		0.5565816919316525	31.0	24.0	0.2033185523414618	0.19
VCC-003-Progression2		0.5566274200427904	14.0	10.0	0.20346615349433272	0.125
VPC-050-Baseline		0.5569724434957544	29.0	23.0	0.20457903855413506	0.0
AC-076-Baseline		0.5574242843328461	32.0	25.0	0.20603438331207413	0.19
AC-162-Baseline		0.5624292410765416	27.0	24.0	0.22199856094624892	0.23800000000000002
FVC-149-Baseline		0.5624486333380868	42.0	37.0	0.22205986337795602	0.253
VIC-127-Progression2		0.5629909410242482	31.0	24.0	0.2237724852540217	0.20600000000000002
AC-080-Baseline		0.563201873371823	31.0	28.0	0.2244377242335538	0.182
VCC-114-Progression		0.5640392083874225	34.0	31.0	0.22707360564705925	0.113
VPC-124-Progression2		0.5640441942647398	31.0	28.0	0.22708927745714913	0.174
VCC-164-Baseline		0.5641137326996561	32.0	27.0	0.22730782458647014	0.122
CSI-154-Progression		0.564143086205066	30.0	24.0	0.2274000613445435	0.326
VCC-052-Progression2		0.5647595459504596	31.0	24.0	0.22933493170610442	0.10400000000000001
CSI-062-Progression		0.5650562517159594	40.0	36.0	0.23026469141221595	0.049
FVC-116-Baseline		0.5653659831486745	32.0	28.0	0.23123422737474875	0.174
AC-089-Progression		0.5654910620061694	33.0	26.0	0.2316254540746565	0.14800000000000002
CSI-028-Baseline		0.5658636944929366	32.0	24.0	0.23278996385147566	0.24600000000000002
FVC-005-Progression		0.5662354620998744	37.0	28.0	0.23395024343491788	0.0
VIC-108-Progression2		0.566259670461246	32.0	28.0	0.2340257444337306	0.23
VCC-103-Progression2		0.5686111182138001	28.0	23.0	0.2413287957834198	0.21
CSI-033-Progression		0.5687781724759219	35.0	32.0	0.24184533023314447	0.122
VPC-093-Progression		0.5695505671105044	31.0	17.0	0.24422964746872156	0.057999999999999996
CSI-191-Progression2		0.5697217892670103	39.0	24.0	0.24475732043428655	0.14800000000000002
AC-160-Progression2		0.5699662483584814	31.0	23.0	0.2455101457673543	0.253
AC-121-Progression2		0.5723840668019956	37.0	28.0	0.2529213197929052	0.312
FVC-115-Progression		0.5727311876874007	46.0	41.0	0.2539801891392641	0.14800000000000002
CSI-195-Progression2		0.5729080344114719	37.0	34.0	0.25451915502064026	0.24600000000000002
FVC-167-Progression		0.5741005009267591	40.0	36.0	0.2581447004736632	0.131
FVC-183-Progression		0.5756663219749983	32.0	23.0	0.2628825730690725	0.23
AC-194-Progression		0.5757470250302394	38.0	33.0	0.26312606661323534	0.23
AC-121-Baseline		0.5767182697904574	32.0	24.0	0.26605111649517155	0.182
VCC-002-Baseline		0.5775991212335457	28.0	24.0	0.26869542691762294	0.0
VIC-135-Progression2		0.5778432257398837	39.0	36.0	0.2694268004620506	0.0
VIC-055-Progression		0.578291725933236	34.0	23.0	0.270768964597895	0.057999999999999996
CSI-037-Progression2		0.5785050481091595	40.0	32.0	0.27140661387745113	0.253
CSI-062-Baseline		0.5786001884129437	40.0	33.0	0.27169084969895363	0.157
FVC-139-Baseline		0.5787186531483551	31.0	27.0	0.27204463764942965	0.0
CSI-104-Progression2		0.5805226097365486	33.0	28.0	0.27741420708175735	0.268
CSI-195-Progression		0.5807114983199634	35.0	32.0	0.27797451420702735	0.20600000000000002
